city,address,711_n,station_n,total_sequence
新北市,中正路,55,851,58830
新北市,中山路,37,984,59511
新北市,中央路,16,294,17634
新北市,中華路,15,257,21320
新北市,文化路,14,306,25557
新北市,北新路,12,344,22367
新北市,復興路,12,248,22809
新北市,大同路,12,192,15132
新北市,三民路,10,133,11003
新北市,成泰路,10,244,12976
新北市,民權路,9,238,17581
新北市,民族路,9,96,8236
新北市,仁愛路,9,207,15570
新北市,景平路,8,158,14701
新北市,民生路,8,241,21960
新北市,中興路,8,144,10235
新北市,長安街,8,4,306
新北市,正義北路,7,30,4940
新北市,明志路,7,91,5118
新北市,大觀路,7,46,3823
新北市,仁愛街,7,12,1345
新北市,自強路,7,89,5512
新北市,淡金路,7,377,11488
新北市,忠孝路,7,85,8622
新北市,佳園路,6,62,5103
新北市,四維路,6,34,1695
新北市,重新路,6,109,8210
新北市,信義路,6,57,4594
新北市,安民街,6,2,60
新北市,文化三路,6,122,9445
新北市,化成路,6,11,665
新北市,福德一路,6,29,2933
新北市,安康路,6,202,12890
新北市,中和路,6,48,4576
新北市,鶯桃路,6,11,1031
新北市,北深路,5,57,1428
新北市,中平路,5,63,3160
新北市,民生街,5,39,2401
新北市,永和路,5,34,3343
新北市,中港路,5,8,690
新北市,文化二路,5,99,9402
新北市,光復路,5,8,270
新北市,莒光路,5,25,1879
新北市,學府路,5,52,2759
新北市,北宜路,5,53,2679
新北市,中正北路,5,70,5635
新北市,成功路,5,61,4442
新北市,三和路,5,66,5667
新北市,中正東路,4,269,14098
新北市,光明街,4,28,1871
新北市,景新街,4,20,1321
新北市,龍米路,4,154,9099
新北市,民安西路,4,49,3397
新北市,明德路,4,44,2504
新北市,明峰街,4,41,2965
新北市,圓通路,4,21,1874
新北市,水源街,4,4,396
新北市,新台五路,4,66,4649
新北市,連城路,4,83,8097
新北市,新泰路,4,57,4687
新北市,寶橋路,4,75,4109
新北市,民權街,4,19,1265
新北市,裕民路,4,23,1444
新北市,裕民路,4,0,0
新北市,新樹路,4,56,3564
新北市,竹林路,4,52,3200
新北市,員山路,4,24,1848
新北市,新生街,4,12,540
新北市,新生街,4,0,0
新北市,後港一路,4,27,2202
新北市,保安街,4,53,3316
新北市,漢生東路,4,34,2663
新北市,興南路,4,40,2794
新北市,集賢路,4,95,5213
新北市,中興街,3,48,1915
新北市,宜安路,3,5,347
新北市,建成路,3,10,990
新北市,清水路,3,66,3792
新北市,三俊街,3,15,681
新北市,四川路,3,48,4202
新北市,國光路,3,3,160
新北市,中和街,3,3,147
新北市,正義南路,3,1,150
新北市,得和路,3,15,876
新北市,溪尾街,3,1,1
新北市,泰林路,3,182,12501
新北市,民德路,3,13,999
新北市,青雲路,3,46,3004
新北市,沙崙路,3,81,4736
新北市,中正三路,3,11,414
新北市,南雅南路,3,65,6377
新北市,介壽路,3,68,4382
新北市,介壽路,3,0,0
新北市,力行路,3,18,992
新北市,五華街,3,41,2418
新北市,學成路,3,91,7025
新北市,金城路,3,108,6870
新北市,集美街,3,1,90
新北市,尖山路,3,27,873
新北市,民享街,3,2,198
新北市,汐萬路,3,77,3981
新北市,福壽街,3,7,591
新北市,思源路,3,214,18502
新北市,龍安路,3,17,1438
新北市,重慶路,3,26,1470
新北市,建一路,3,22,2056
新北市,延吉街,2,2,307
新北市,工商路,2,64,3468
新北市,明燈路,2,163,7110
新北市,凌雲路,2,54,2812
新北市,立德街,2,10,744
新北市,全興路,2,22,1994
新北市,全興路,2,0,0
新北市,大安路,2,34,1452
新北市,福和路,2,14,1499
新北市,合宜路,2,10,564
新北市,三爪子坑路,2,11,488
新北市,秀朗路,2,7,579
新北市,文化街,2,7,592
新北市,文化街,2,0,0
新北市,仁和路,2,48,1466
新北市,文化一路,2,63,4740
新北市,粉寮路,2,22,1919
新北市,太平路,2,12,606
新北市,建國路,2,58,4764
新北市,承天路,2,15,551
新北市,承天路,2,0,0
新北市,華新街,2,8,494
新北市,華新街,2,0,0
新北市,館前東路,2,19,1610
新北市,館前東路,2,0,0
新北市,永貞路,2,42,2382
新北市,西盛街,2,2,198
新北市,懷德街,2,13,723
新北市,忠承路,2,2,222
新北市,永安南路,2,15,1649
新北市,忠孝街,2,14,641
新北市,南山路,2,16,1336
新北市,永元路,2,13,1222
新北市,福祥路,2,12,1034
新北市,景安路,2,45,3549
新北市,登林路,2,23,611
新北市,五工二路,2,3,210
新北市,長樂路,2,1,99
新北市,僑中一街,2,13,1402
新北市,中山一路,2,49,4461
新北市,實踐路,2,33,1782
新北市,陽明街,2,6,504
新北市,雙十路,2,17,829
新北市,新春街,2,54,3107
新北市,忠孝東路,2,78,6308
新北市,三民街,2,5,472
新北市,三民街,2,0,0
新北市,延和路,2,13,772
新北市,中原路,2,107,6572
新北市,裕民街,2,2,198
新北市,安和路,2,75,4546
新北市,保安路,2,23,1117
新北市,南雅西路,2,1,56
新北市,貴興路,2,4,144
新北市,貴興路,2,0,0
新北市,貴興路,2,0,0
新北市,光華路,2,6,614
新北市,萬安街,2,9,108
新北市,萬安街,2,0,0
新北市,萬安街,2,0,0
新北市,新民街,2,61,4003
新北市,公園路,2,22,2124
新北市,重陽路,2,29,2031
新北市,重陽路,2,0,0
新北市,文化北路,2,9,996
新北市,安忠路,2,10,388
新北市,中興北街,2,5,318
新北市,府中路,2,56,5968
新北市,樟樹一路,2,11,1054
新北市,自立路,2,10,931
新北市,天祥街,2,2,198
新北市,濱海路,2,66,4204
新北市,永豐街,2,6,72
新北市,篤行路,2,20,1044
新北市,板南路,2,17,1122
新北市,龍濱路,2,2,101
新北市,仁義街,2,7,700
新北市,仁義街,2,0,0
新北市,仁義街,2,0,0
新北市,茄苳路,2,10,717
新北市,長榮路,2,44,2133
新北市,長榮路,2,0,0
新北市,幸福路,2,75,5895
新北市,康寧街,2,64,3565
新北市,新海路,2,8,678
新北市,五權路,2,29,1302
新北市,壽德街,2,1,99
新北市,俊英街,2,9,453
新北市,俊英街,2,0,0
新北市,俊英街,2,0,0
新北市,永業路,1,2,198
新北市,永業路,1,0,0
新北市,中正一路,1,25,1083
新北市,中正一路,1,0,0
新北市,中正一路,1,0,0
新北市,坪頂路,1,11,385
新北市,福德二路,1,23,2439
新北市,環河南路,1,6,768
新北市,碧潭路,1,4,396
新北市,柴寮路,1,6,350
新北市,柴寮路,1,0,0
新北市,柴寮路,1,0,0
新北市,南門街,1,11,1464
新北市,汽車路,1,46,2030
新北市,汽車路,1,0,0
新北市,汽車路,1,0,0
新北市,延平街,1,20,248
新北市,中信街,1,6,426
新北市,榮華路,1,12,950
新北市,榮華路,1,0,0
新北市,瓊林南路,1,2,40
新北市,光環路,1,12,666
新北市,光環路,1,0,0
新北市,中山二路,1,54,3428
新北市,三信路,1,36,1940
新北市,三信路,1,0,0
新北市,港東路,1,53,2422
新北市,港東路,1,0,0
新北市,和平街,1,3,540
新北市,和平街,1,0,0
新北市,和平街,1,0,0
新北市,和平街,1,0,0
新北市,鼻頭路,1,32,476
新北市,鼻頭路,1,0,0
新北市,新五路,1,20,492
新北市,新興路,1,6,499
新北市,新興路,1,0,0
新北市,新興路,1,0,0
新北市,新興路,1,0,0
新北市,新興路,1,0,0
新北市,新興路,1,0,0
新北市,大忠街,1,2,322
新北市,區運路,1,2,72
新北市,福德南路,1,1,150
新北市,福德南路,1,0,0
新北市,文聖街,1,6,575
新北市,文聖街,1,0,0
新北市,文聖街,1,0,0
新北市,永豐路,1,2,128
新北市,永豐路,1,0,0
新北市,永豐路,1,0,0
新北市,錦和路,1,26,2152
新北市,大湖路,1,8,600
新北市,永和街,1,1,70
新北市,永和街,1,0,0
新北市,永和街,1,0,0
新北市,興隆街,1,35,1045
新北市,興隆街,1,0,0
新北市,興隆街,1,0,0
新北市,興隆街,1,0,0
新北市,興隆街,1,0,0
新北市,和平路,1,45,2679
新北市,五工六路,1,15,784
新北市,五工六路,1,0,0
新北市,五工六路,1,0,0
新北市,安樂路,1,29,861
新北市,龍泉街,1,8,693
新北市,龍泉街,1,0,0
新北市,伯爵街,1,29,2231
新北市,伯爵街,1,0,0
新北市,伯爵街,1,0,0
新北市,三鶯路,1,5,222
新北市,保順路,1,6,694
新北市,龍門路,1,4,184
新北市,龍門路,1,0,0
新北市,樟樹二路,1,18,1224
新北市,樟樹二路,1,0,0
新北市,南雅路,1,50,2549
新北市,南雅路,1,0,0
新北市,南雅路,1,0,0
新北市,新烏路,1,32,3768
新北市,新烏路,1,0,0
新北市,寶慶街,1,6,768
新北市,寶慶街,1,0,0
新北市,南勢街,1,14,1246
新北市,南勢街,1,0,0
新北市,三泰路,1,1,26
新北市,三泰路,1,0,0
新北市,成福路,1,18,985
新北市,東興街,1,7,693
新北市,水碓路,1,20,495
新北市,林森路,1,10,783
新北市,永安北路,1,1,99
新北市,學勤路,1,81,7055
新北市,五工路,1,50,2279
新北市,碇坪路,1,10,84
新北市,碇坪路,1,0,0
新北市,碇坪路,1,0,0
新北市,碇坪路,1,0,0
新北市,捷運路,1,13,2190
新北市,捷運路,1,0,0
新北市,捷運路,1,0,0
新北市,捷運路,1,0,0
新北市,捷運路,1,0,0
新北市,莊敬路,1,22,928
新北市,莊敬路,1,0,0
新北市,海濱路,1,54,1506
新北市,車路頭街,1,2,198
新北市,車路,1,4,206
新北市,車路,1,0,0
新北市,車路,1,0,0
新北市,車路,1,0,0
新北市,博愛街,1,3,144
新北市,橋和路,1,16,1536
新北市,光榮路,1,2,14
新北市,鄉長路,1,2,70
新北市,錦秀路,1,16,1009
新北市,大學路,1,61,4667
新北市,永福街,1,1,99
新北市,中安街,1,3,297
新北市,中安街,1,0,0
新北市,靜安路,1,20,285
新北市,寶興路,1,6,96
新北市,寶興路,1,0,0
新北市,溪東路,1,14,783
新北市,亞洲路,1,4,310
新北市,德光路,1,7,622
新北市,德光路,1,0,0
新北市,溪崑二街,1,2,198
新北市,大埔路,1,28,845
新北市,永利路,1,12,1224
新北市,永利路,1,0,0
新北市,永利路,1,0,0
新北市,國際二路,1,2,198
新北市,國際二路,1,0,0
新北市,國際二路,1,0,0
新北市,國際二路,1,0,0
新北市,國際二路,1,0,0
新北市,環河西路,1,4,446
新北市,仁華街,1,1,99
新北市,仁華街,1,0,0
新北市,仁華街,1,0,0
新北市,環河路,1,9,567
新北市,環河路,1,0,0
新北市,環河路,1,0,0
新北市,安平路,1,14,1522
新北市,安平路,1,0,0
新北市,雙鳳路,1,17,1345
新北市,雙鳳路,1,0,0
新北市,雙鳳路,1,0,0
新北市,五權一路,1,10,406
新北市,五權一路,1,0,0
新北市,五權一路,1,0,0
新北市,五權一路,1,0,0
新北市,工專路,1,4,396
新北市,工專路,1,0,0
新北市,三賢街,1,4,416
新北市,三賢街,1,0,0
新北市,三賢街,1,0,0
新北市,長江路,1,13,1161
新北市,永平路,1,1,99
新北市,麗園一街,1,24,1724
新北市,民安東路,1,19,1597
新北市,五福路,1,17,472
新北市,五福路,1,0,0
新北市,漢生西路,1,1,48
新北市,漢生西路,1,0,0
新北市,漢生西路,1,0,0
新北市,中正南路,1,19,2351
新北市,中正南路,1,0,0
新北市,建安街,1,4,396
新北市,建安街,1,0,0
新北市,建安街,1,0,0
新北市,永樂街,1,6,320
新北市,永樂街,1,0,0
新北市,福德北路,1,3,136
新北市,安祥路,1,37,2493
新北市,溪城路,1,9,657
新北市,福隆街,1,7,693
新北市,福隆街,1,0,0
新北市,泰和街,1,9,979
新北市,建國一路,1,19,1122
新北市,建國一路,1,0,0
新北市,建國一路,1,0,0
新北市,立德路,1,28,1436
新北市,立德路,1,0,0
新北市,富國路,1,23,2291
新北市,民安街,1,1,99
新北市,國慶路,1,66,4070
新北市,三樹路,1,42,3774
新北市,順安街,1,11,669
新北市,順安街,1,0,0
新北市,九芎街,1,16,1130
新北市,九芎街,1,0,0
新北市,樹新路,1,44,2818
新北市,柑園街,1,22,1720
新北市,柑園街,1,0,0
新北市,柑園街,1,0,0
新北市,柑園街,1,0,0
新北市,柑園街,1,0,0
新北市,國慶街,1,11,422
新北市,八德街,1,13,715
新北市,八德街,1,0,0
